NAME,RA,DEC,RA_DEG,DEC_DEG
RCS2_0032+0100,00h32m00s,+01:00:00,7.999999999999999,1.0
RCS2_0102+0007,01h02m00s,+00:07:00,15.5,0.11666666666666667
RCS2_0136+0008,01h36m00s,+00:08:00,24.0,0.13333333333333333
RCS2_0140-0056,01h40m00s,-00:56:00,24.999999999999996,-0.9333333333333333
RCS2_0355-0559,03h55m00s,-05:59:00,58.74999999999999,-5.983333333333333
RCS2_1032+6018,10h32m00s,+60:18:00,157.99999999999997,60.3
RCS2_1459+1023,14h59m00s,+10:23:00,224.74999999999997,10.383333333333333
RCS2_2126+0006,21h26m00s,+00:06:00,321.49999999999994,0.1
RCS2_2149-0012,21h49m00s,-00:12:00,327.24999999999994,-0.2
RCS2_2312-0019,23h12m00s,-00:19:00,347.99999999999994,-0.31666666666666665
RCS2_2325+0037,23h25m00s,+00:37:00,351.25,0.6166666666666667
RCS2_2326-0022,23h26m00s,-00:22:00,351.49999999999994,-0.36666666666666664